"NAME","ID","BASIN","ISO_TIME_________","NATURE","LAT","LON","WMO WIND","WMO PRES","USA WIND","USA PRES","TOKYO WIND","TOKYO PRES","CMA WIND","CMA PRES","HKO WIND","HKO PRES"
"ROKE","2005071N06152","WP","2005-03-12 00:00:00","TS","6.07","151.87","","1008","15","1006","","1008","19","1008","",""
"ROKE","2005071N06152","WP","03:00:00","TS","6.12","151.55","","","15","1006","","1007","19","1007","",""
"ROKE","2005071N06152","WP","06:00:00","TS","6.20","151.20","","1006","15","1006","","1006","19","1006","",""
"ROKE","2005071N06152","WP","09:00:00","TS","6.33","150.80","","","17","1005","","1007","19","1006","",""
"ROKE","2005071N06152","WP","12:00:00","TS","6.50","150.37","","1008","20","1004","","1008","19","1006","",""
"ROKE","2005071N06152","WP","15:00:00","TS","6.71","149.95","","","20","1004","","1007","19","1006","",""
"ROKE","2005071N06152","WP","18:00:00","TS","6.93","149.50","","1006","20","1004","","1006","19","1006","",""
"ROKE","2005071N06152","WP","21:00:00","TS","7.12","148.99","","","20","1004","","1007","19","1006","",""
"ROKE","2005071N06152","WP","2005-03-13 00:00:00","TS","7.33","148.40","","1008","20","1004","","1008","19","1006","",""
"ROKE","2005071N06152","WP","03:00:00","TS","7.63","147.75","","","22","1003","","1006","21","1005","",""
"ROKE","2005071N06152","WP","06:00:00","TS","7.93","147.03","","1004","25","1002","","1004","23","1004","",""
"ROKE","2005071N06152","WP","09:00:00","TS","8.17","146.29","","","27","1001","","1003","26","1003","",""
"ROKE","2005071N06152","WP","12:00:00","TS","8.42","145.51","","1002","30","1000","","1002","29","1002","25","1002"
"ROKE","2005071N06152","WP","15:00:00","TS","8.83","144.64","","","30","1000","","1001","29","1001","25","1002"
"ROKE","2005071N06152","WP","18:00:00","TS","9.25","143.80","","1000","30","1000","","1000","29","1000","25","1002"
"ROKE","2005071N06152","WP","21:00:00","TS","9.62","143.12","","","30","1000","","1000","29","1000","25","1002"
"ROKE","2005071N06152","WP","2005-03-14 00:00:00","TS","9.93","142.50","","1000","30","1000","","1000","29","1000","25","1002"
"ROKE","2005071N06152","WP","03:00:00","TS","10.15","141.84","","","32","998","","1000","29","1000","27","1001"
"ROKE","2005071N06152","WP","06:00:00","TS","10.30","141.20","","1000","35","997","","1000","29","1000","30","1000"
"ROKE","2005071N06152","WP","09:00:00","TS","10.40","140.60","","","40","994","","1000","29","1000","30","1000"
"ROKE","2005071N06152","WP","12:00:00","TS","10.50","140.02","","1000","45","991","","1000","29","1000","30","1000"
"ROKE","2005071N06152","WP","15:00:00","TS","10.63","139.45","","","47","989","","1000","29","1000","30","1000"
"ROKE","2005071N06152","WP","18:00:00","TS","10.82","138.85","","1000","50","987","","1000","29","1000","30","1000"
"ROKE","2005071N06152","WP","21:00:00","TS","11.12","138.20","","","52","985","","998","31","998","32","998"
"ROKE","2005071N06152","WP","2005-03-15 00:00:00","TS","11.45","137.50","35","996","55","984","35","996","34","996","35","996"
"ROKE","2005071N06152","WP","03:00:00","TS","11.75","136.76","","","55","984","37","994","36","994","37","994"
"ROKE","2005071N06152","WP","06:00:00","TS","11.97","136.00","40","992","55","984","40","992","38","992","40","992"
"ROKE","2005071N06152","WP","09:00:00","TS","12.10","135.26","","","57","982","40","991","38","992","40","992"
"ROKE","2005071N06152","WP","12:00:00","TS","12.15","134.50","40","990","60","980","40","990","38","992","40","992"
"ROKE","2005071N06152","WP","15:00:00","TS","12.17","133.72","","","65","976","42","987","41","991","42","990"
"ROKE","2005071N06152","WP","18:00:00","TS","12.12","132.90","45","985","70","972","45","985","44","990","45","988"
"ROKE","2005071N06152","WP","21:00:00","TS","12.00","132.07","","","75","967","47","985","46","990","47","986"
"ROKE","2005071N06152","WP","2005-03-16 00:00:00","TS","11.85","131.15","50","985","80","963","50","985","48","990","50","984"
